,count,mean,std,min,25%,50%,max,FechaMax,FechaMin,Nombre,Codigo,ceros,75mayor,75%,99mayor,99%,Ceros %,
59,24576,0.129032389,0.64266217,0,0,0,17.3,2021-06-30-23,2018-01-04-00,CHALACO,X472FB328,19427,5149,0,241,2.8,0.790486654,
60,4464,0.007123656,0.031088505,0,0,0,0.7,2019-06-21-23,2018-01-01-00,CHALLACA,X472811E4,4186,278,0,28,0.1,0.937724014,
61,16800,0.010255952,0.151324666,0,0,0,10.5,2021-06-30-23,2018-01-02-00,CHALLACA GORE,X47284198,16592,208,0,132,0.2,0.987619048,
62,26880,0.006004464,0.224771826,0,0,0,34.2,2021-06-30-23,2018-01-02-00,CHALLATA,X47E195C8,26583,297,0,157,0.1,0.988950893,
63,28752,0.104848358,0.812163713,0,0,0,27.8,2021-06-30-23,2018-01-01-00,CHANCAY BA?OS,X47E3055E,26222,2530,0,285,2.7,0.912006121,
64,13632,0.011700411,0.146962941,0,0,0,7,2020-01-24-23,2018-02-20-00,CHARCANI PSI,X472147C4,13352,280,0,114,0.3,0.979460094,
65,29160,0.078604252,0.425381381,0,0,0,12,2021-06-30-23,2018-01-02-00,CHAVIN,X4725A10C,26203,2957,0,284,1.9,0.898593964,
66,6336,0.170296717,0.665749021,0,0,0,16,2018-09-28-23,2018-01-01-00,CHICHILAPAS,X105130,5183,1153,0,59,2.8,0.81802399,
67,27240,0.036872247,0.281948656,0,0,0,13.2,2021-06-30-23,2018-01-02-00,CHILCA,X472A9204,25641,1599,0,235,1,0.941299559,
68,0,,,,,,,,,CHIMBOTE,X4720C32A,0,0,,0,,#DIV/0!,
69,0,,,,,,,,,CHINCHAVITO,X472D0552,0,0,,0,,#DIV/0!,
70,28320,0.019819915,0.341533066,0,0,0,32.4,2021-06-30-23,2018-01-01-00,CHIPILLICO,X47E0E1A2,27701,619,0,279,0.2,0.978142655,
71,28800,0.031152778,0.194667418,0,0,0,9,2021-06-30-23,2018-01-01-00,CHIQUIAN,X4AD02624,26808,1992,0,251,0.9,0.930833333,
72,29112,0.053002198,0.354584824,0,0,0,10.8,2021-06-30-23,2018-01-02-00,CHIVAY,X4723D752,27163,1949,0,274,1.6,0.933051663,
73,26928,0.00122549,0.029200332,0,0,0,2.2,2021-06-30-23,2018-02-11-00,CHOSICA,X47278214,26808,120,0,120,0,0.995543672,
74,28896,0.10030454,0.803514889,0,0,0,35.2,2021-06-30-23,2018-01-02-00,CHOTA GORE,X4726C3E4,26852,2044,0,266,2.7,0.929263566,
75,23184,0.058678399,0.388838025,0,0,0,12.3,2021-06-30-23,2018-01-02-00,CHUAPALCA,X47E292C6,21650,1534,0,221,1.8,0.933833678,
76,10872,0.149172185,0.966734561,0,0,0,47.7,2021-06-26-23,2019-03-30-00,CHUGUR,X4727F484,9479,1393,0,109,3.929,0.871872701,
77,28032,0.026120148,0.559204819,0,0,0,35.6,2021-06-30-23,2018-01-02-00,CHULUCANAS,X472F6540,27506,526,0,251,0.2,0.981235731,
78,24768,0.028544897,0.275392793,0,0,0,14.6,2021-06-30-23,2018-01-02-00,CIRATO,X4724D566,23729,1039,0,245,0.8,0.958050711,
79,0,,,,,,,,,COCHAMARCA,X4720CDF8,0,0,,0,,#DIV/0!,
80,17832,0.07995738,0.367380092,0,0,0,8.1,2021-06-30-23,2018-10-09-00,COLLAC,X472BD3F4,15706,2126,0,170,1.8,0.880776133,
81,336,0,0,0,0,0,0,2020-12-13-23,2020-04-15-00,CONTA GORE,X4728A26A,336,0,0,0,0,1,
82,3480,0.208793103,1.525492012,0,0,0,34.8,2020-02-05-23,2019-09-04-00,CONTAMANA,X47287402,3244,236,0,35,5.463,0.932183908,
83,22872,0.205041098,1.719932664,0,0,0,63.9,2021-06-30-23,2018-09-08-00,CONTAMANA COHIDRO,X251107,20894,1978,0,223,5.3,0.913518713,
84,28848,0.060298808,0.512214322,0,0,0,39.5,2021-06-30-23,2018-01-02-00,CORA CORA,X47262016,26879,1969,0,273,1.7,0.931745702,
85,28704,0.012235229,0.173445584,0,0,0,10.4,2021-06-30-23,2018-01-02-00,CORACHAY II,X47E1654C,28254,450,0,259,0.2,0.984322742,
86,21336,0.054190101,0.430887672,0,0,0,15.8,2021-06-30-23,2019-01-01-00,CORDOVA GORE,X4728F216,20282,1054,0,196,1.6,0.950599925,
87,30048,0.032777556,0.214184598,0,0,0,8.5,2021-06-30-23,2018-01-01-00,CORONGO,X4AD050B4,27621,2427,0,269,0.8,0.919229233,
88,6336,0.010148359,0.143128568,0,0,0,6.2,2021-06-29-23,2020-03-17-00,CORRAL DEL MEDIO,X47E037CA,6231,105,0,54,0.2,0.98342803,
89,12192,0.03109416,0.378932334,0,0,0,23.3,2021-06-30-23,2018-01-02-00,CORRAL QUEMADO,X472B607A,11615,577,0,119,0.7,0.952673885,
90,29040,0.002503444,0.058596837,0,0,0,5.7,2021-06-30-23,2018-01-02-00,CORUCA,X47E1A052,28809,231,0,231,0,0.992045455,
91,13080,0.131391437,0.749827346,0,0,0,24.9,2021-06-30-23,2018-01-02-00,COSPAN,X472D4658,11651,1429,0,127,3.3,0.890749235,
92,25680,0.093991433,0.483533234,0,0,0,14.5,2021-06-30-23,2018-01-02-00,COTACOTA,X47E8A60E,23004,2676,0,255,2.4,0.895794393,
93,13344,0.02838729,0.250997694,0,0,0,10.7,2021-06-27-23,2018-04-26-00,COTAHUASI,X47280292,12741,603,0,132,0.8,0.954811151,
94,28800,0.052833333,0.461556915,0,0,0,21.1,2021-06-30-23,2018-01-02-00,CRISNEJAS,X472A32FC,27500,1300,0,278,1.6,0.954861111,
95,28104,0.054405067,0.308818697,0,0,0,9.4,2021-06-30-23,2018-01-02-00,CRUCERO ALTO,X47E3903C,25660,2444,0,270,1.5,0.91303729,
96,27384,0.037770231,0.288798298,0,0,0,16.8,2021-06-30-23,2018-01-02-00,CUCHUANCA,X47E2323E,25594,1790,0,272,1,0.934633363,
97,28896,0.079357004,0.62897936,0,0,0,26.9,2021-06-30-23,2018-01-02-00,CUMBA,X472B3006,26844,2052,0,280,2.2,0.928986711,
98,5760,0.076111111,0.551062194,0,0,0,16.9,2019-04-06-23,2018-07-31-00,CUSICANCHA GORE,X4728C78C,5392,368,0,58,2.082,0.936111111,
99,17208,0.113435611,0.71701152,0,0,0,21.7,2021-04-16-23,2018-01-02-00,CUTERVO GORE,X4726A602,15534,1674,0,163,2.7,0.902719665,
100,14016,0.026227169,0.311428056,0,0,0,13.2,2019-09-07-23,2018-01-02-00,EL CIRUELO,X4724B080,13379,637,0,130,0.5,0.954551941,
101,28272,0.049607385,0.675821734,0,0,0,38.1,2021-06-30-23,2018-01-02-00,EL CIRUELO ANA,X47E9177A,27007,1265,0,270,0.8,0.955256084,
102,26544,0.118388336,1.039124887,0,0,0,48.9,2021-06-30-23,2018-01-02-00,EL PORVENIR,X4723013A,25168,1376,0,264,3,0.948161543,
103,26928,0.011133393,0.126033767,0,0,0,7.8,2021-06-30-23,2018-01-02-00,EL TAMBO,X47E0A2A8,26306,622,0,263,0.2,0.976901367,
104,27696,0.035171144,0.602670526,0,0,0,37.2,2021-06-30-23,2018-01-02-00,EL TIGRE,X4724A3F6,27298,398,0,269,0.3,0.985629694,
105,28224,0.020365646,0.384292533,0,0,0,28.7,2021-06-21-23,2018-01-02-00,EL VIRREY,X472F50DA,27743,481,0,239,0.2,0.982957766,
106,17016,0.001733662,0.04406528,0,0,0,2.3,2021-06-30-23,2018-01-02-00,EMA PAMPA DE MAJES,X4729E39A,16948,68,0,68,0,0.996003761,
107,28944,0.000908651,0.030044539,0,0,0,2.6,2021-06-30-23,2018-01-02-00,EMA-ANTONIO RAIMONDI,X472A218A,28854,90,0,90,0,0.996890547,
108,15192,0.206779884,1.414096296,0,0,0,50.4,2021-06-30-23,2018-12-14-00,ENAPU COHIDRO,X47214916,13542,1650,0,152,5.309,0.891390205,
109,11760,0.159489796,1.277193064,0,0,0,57,2021-06-30-23,2018-01-05-00,ENAPU PERU,X47252718,10987,773,0,104,4.2,0.934268707,
110,23880,0.253517588,1.631899444,0,0,0,59,2021-06-30-23,2018-09-08-00,ESTRELLA COHIDRO,X221403,21082,2798,0,236,6.5,0.882830821,
111,13008,0.000238315,0.006730779,0,0,0,0.5,2021-06-30-23,2019-12-18-00,FONAGRO GORE,X4728B11C,12985,23,0,23,0,0.998231857,
